address,lat,lon,total_tickets,total_owed,total_paid
236 W. 103RD ST,41.707369,-87.629802,4,3319.69,0
2459 E. 74TH PL,41.759609,-87.564076,4,11926.52,0
252 W. 105TH PL,41.7027912,-87.6301565,3,7591.25,0
2527 W. WARREN BLVD,41.8818141,-87.6896416,3,2530.34,5221.42
253 W. 104TH ST,41.7050645,-87.6302695,1,2524.14,0
26 W. 110TH ST,41.6946557,-87.6241488,4,8948.07,0
262 W. 107TH ST,41.7000253,-87.630494,8,10321.95,0
2646 W. ADAMS ST,41.878646,-87.693156,5,5391.56,0
2719 W. LAKE ST,41.884097,-87.6946614,2,1896.3,0
2739 W. LAKE ST,41.8840797,-87.6955464,6,12788.31,0
2801 W. JACKSON BLVD,41.8771656,-87.6964121,14,22382.41,0
2820 W. LEXINGTON ST,41.8722204,-87.6970189,5,13621.47,0
300-310 S. CALIFORNIA AVE,41.877434,-87.6961692,10,20383.13,0
3001 W. LAKE ST,41.8869507,-87.75556,1,3324.81,0
301 W. 103RD ST,41.706816,-87.63086,12,21769.58,0
305 W. 103RD ST,41.706815,-87.630953,13,27233.09,0
3100 W. LAKE ST,41.8843966,-87.7039068,6,14555.33,0
3102 W. LAKE ST,41.884482,-87.703985,1,2725.92,0
3104 W. LAKE ST,41.884484,-87.704058,4,8366.53,0
3106 W. LAKE ST,41.884486,-87.704131,3,6902.19,0
3108 W. LAKE ST,41.884488,-87.704211,3,7180.72,0
3150 W. HURON,41.8938719,-87.7057167,1,0,361.07
316 E. 134TH ST,41.651069,-87.613231,5,12525.22,0
318 E. 134TH ST,41.6520512,-87.614682,2,3739.79,0
318 W. 104TH ST,41.705509,-87.631511,8,11353.41,0
324 W. 108TH PL,41.697311,-87.631525,8,15894.77,0
3252 W. WALNUT ST,41.8855772,-87.7082172,3,8506.46,0
326 W. 110TH ST,41.6944794,-87.6312953,1,2383.83,0
328 W. 110TH ST,41.6944994,-87.6315365,1,2383.83,0
329 W. 111TH ST,41.6922623,-87.6315559,2,2143.02,0
3302 W. WALNUT ST,41.8856011,-87.7090326,1,1308.6,0
332 W. 109TH ST,41.6963985,-87.6317062,7,10562.9,0
333 W. 111TH PL,41.6913261,-87.6315842,3,6712.7,0
333 W. 112TH ST,41.6904146,-87.631496,2,2857.35,0
335 W. 112TH ST,41.6904139,-87.631658,13,21667.59,0
339 W. 112TH ST,41.690438,-87.631793,8,17467.23,0
340 W. 103RD ST,41.707338,-87.632372,21,43259.72,0
341 W. 111TH PL,41.691319,-87.631903,2,8887.74,0
3418 S. LAFLIN ST,41.8451195,-87.6639059,1,1848.04,0
342 W. 109TH PL,41.695481,-87.632119,4,8285.19,0
344 W. 109TH PL,41.6953874,-87.6321728,8,11556.71,0
349 W. 110TH ST,41.694031,-87.632354,8,9873.28,0
3515 E. 95TH ST,41.722642,-87.538241,1,1605.88,0
355 W. 109TH PL,41.695018,-87.6321921,11,19081.74,0
357 W. 117TH ST,41.6812911,-87.6320346,21,38439.6,0
3934 W. ONTARIO ST,41.8925089,-87.724942,4,6184.82,0
3936 W. ONTARIO ST,41.892508,-87.725014,7,6048.76,0
3950-3956 W. LEXINGTON ST,41.871853,-87.724924,1,1966,0
3954-3956 W. LEXINGTON ST,41.8718548,-87.7250352,1,2050.38,0
3956 W. LEXINGTON ST,41.8718547,-87.7250505,3,4594.99,0
